Richness,Abundance,Biomass
61,250633.2846,0.037422689
54,208868.5714,0.080697518
49,61966.10169,0.01673484
46,256153.0435,0.020064757
46,84284.30769,0.007686443
44,677543.4146,0.033845721
56,255990,0.05821895
40,416157.0732,0.039865881
52,1291814.4,0.157350597
55,195981.1765,0.062844559
55,2013716.571,0.183360939
50,3118455.338,0.394717704
54,2285568.98,0.426528039
53,2698511.02,0.606948738
50,4830316.408,0.434902743
57,762391.5789,0.354603114
55,2470272,0.151701093
50,135315.2809,0.016687723
41,1323209.6,0.216056394
39,62244.87805,0.010669634
19,861480,0.073568031
62,101176.5854,0.057741522
55,125675.2941,0.090007107
53,76059.42857,0.055360404
42,13472.30769,0.036876593
37,636240,0.696881259
43,207970.9091,0.395711968
40,46519.14894,0.028874482
26,7510.909091,0.00445776
51,32808.64865,0.057988145
43,13009.09091,0.013263001
47,14732.30769,0.055929711
54,13608,0.056598094
29,1596.521739,0.014039837
34,17871.78082,0.054835277
32,19757.64706,0.06653053
47,20857.5,0.054552756
29,22104,0.069863981
33,9409.315068,0.027408377
35,16794.60674,0.04656901
16,37047.27273,0.067296832
26,10603.63636,0.033906661
32,19218.46154,0.060377073
16,4813.714286,0.020074239
46,973341.1765,0.118698043
52,884910,0.194471872
48,67593.51351,0.024601418
48,5917581.224,0.78866371
47,130260,0.237687736
40,2255668.571,0.386834802
43,915805.5222,0.094069492
36,437058.0645,0.096495763
37,1150149.567,0.118296487
37,5015625.361,0.079134033
57,2218142.883,0.233682332
32,187197.5758,0.079337076
17,117609.4118,0.004002647
41,322240,0.178727831
23,89440,0.067497894
39,266768.5256,0.108525485
17,12240,0.029886908
39,170878.5332,0.126415835
22,39120,0.052505374
29,144232.2383,0.030450565
24,172650.8785,0.130645004
28,341329.259,0.069520598
17,26400,0.031438641
34,271810.5424,0.059734195
23,7680,0.011900293
50,326631.016,0.049628041
48,289167.3033,0.042832718
49,922077.9221,1.206494033
35,772880.0611,0.082434458
52,2692742.552,0.437426741
50,4530756.303,0.668836214
44,13969136.75,1.606196175
16,67226.89076,0.046825863
37,33141634.84,3.279265564
10,221848.7395,0.024788891
25,133381207,13.58499398
49,327700.5348,0.267268009
17,126203.2086,0.033482655
13,23880,0.015049108
22,22800,0.110739313
29,34800,0.193345358
14,6960,0.039117472
24,118800,0.34901491
29,46200,0.225065879
30,24120,0.05017033
15,25920,0.042731237
20,15360,0.16065697
7,3600,0.040774912
16,5520,0.029600349
34,44461.42093,0.092836843
13,240600,0.238414089
18,6600,0.016358168
24,10440,0.033773546
19,15840,0.039803626
18,9840,0.015681073
14,45360,0.053478514
13,8880,0.030971429
17,11160,0.045272757
10,3600,0.010416453
31,290909.0909,0.098089764
33,197400,0.052136408
33,436200,0.100227145
14,1715516.622,0.191803231
18,135064.9351,0.613968354
10,16046855.11,1.02864361
22,44100,0.087016541
17,11874713.52,1.026297124
13,51948.05195,0.059309671
25,941176.4706,0.262512808
26,207792.2078,0.408041106
24,3098548.51,0.4094086
9,23760,0.006160115
17,1757677.617,0.410047073
17,80867838.04,8.151315011
